Comment,label
এইডা কেডা? কত সুন্দর বাংলা ভাষা রে‌খে এক অদ্ভুত ভাষায় কথা ব‌লে। তাও আবার স্বাধীনতা দিব‌সে। এরাই দে‌শ ও জা‌তির কলঙ্ক।,Notbully
আই মিন ইট দিয়ে সিকিউরিটি গ্লাস ভাংগার পর আপার অনুভুতি কি ছিলো? প্লিজ আবার বইলেন না আপনার সর্বনাশ করেছে। জেনে বুঝে লিভটুগেদার করেছেন। প্লিজ গরিব ছেলেটার উপর রেপ কেইস দিবেন না। আই রিপিট এগেইন আপনার অনুভুতি কি?,Notbully
এটা দিয়ে কি TikTok করা যাবে........,Notbully
ভাইরে ভাই !! আর নিতে পারতাসি না !! নিউস ফিড ভরা আপনার নিউজ আপা !!,Notbully
আমার বাড়ির সামনে দিয়ে গেছো...!!!,Notbully
"বাংলা সিনেমা বলতে একমাত্র কলকাতার সিনেমাই বুঝা যায়, বাংলাদেশের সিনেমা তো সেই কবে ধ্বংস হয়ে গেছে ৷",Notbully
নির্দেশের অপেক্ষায়-,Notbully
শুভ কামনা ডিয়ার তোমার জন্য,Notbully
মাশাল্লাহ ডিয়ার,Notbully
"আপনি ভবিষ্যতে যে কোন মিডিয়াতে মন্তব্য করার আগে অত্যন্ত সতর্ক থাকবেন ! আমি স্পেশালি আপনাকে Beauty Without Brain এরকম ট্যাগ করতে চাচ্ছি না ! আপনি সুন্দরী , শিক্ষিতা , এবং বিবেকবান !",Notbully
জয় ভাই প্রোগ্রামের টিআরপি বাড়ানোর জন্য এতসব পাগলামি করে। এগিয়ে যান অনন্ত ভাই।,Notbully
"ওরে বাবা! কী বিশাল বোঝা মাথায় তুলেছে। হয়েছে, অনেক হয়েছে।",Notbully
এইটা যেন ফটো সেশসেন মধ্যে না থাকে সেটাই কাম্য কারন সকলে হাজার বছরের শ্রেষ্ঠ বাঙ্গালী বঙ্গবন্ধুকে বুকে ধারন করেছে। ধন্যবাদ।,Notbully
স্পিচললেস......,Notbully
আজকে সবে বরাত চোখে দেখতাছে :p,Notbully
আগে এ ধরণের পোস্ট করতে তো দেখি নি...,Notbully
খুবই সঠিক পদক্ষেপ। পাশাপাশি আমাদের মন্ত্রীদের কাছ থেকে সেনসেবল বিহেভিয়ার আশা করি।,Notbully
"হে ইমানদারগণ!তোমাদের কী হলো, যখনই তোমাদের আল্লাহর পথে বের হতে বলা হলো, অমনি তোমরা মাটি কামড়ে পড়ে থাকলে? তোমরা কি আখেরাতের মোকাবিলায় দুনিয়ার জীবন পছন্দ করে নিয়েছ? যদি তাই হয়, তাহলে তোমরা মনে রেখো, দুনিয়ার জীবনের এমন সাজ-সরঞ্জাম আখেরাতে খুব সামান্য বলে প্রমাণিত হবে।(সুরা: তাওবা, আয়াত-৩৮)নিশ্চয় যারা তাদের পালনকর্তাকে না দেখে ভয় করে, তাদের জন্যে রয়েছে ক্ষমা ও মহাপুরস্কার।(সুরা মুলক ৬৭:১২)আবু হুরায়রা (রাঃ) হ’তে বর্ণিত, তিনি বলেন, রাসূলুল্লাহ (ছাঃ) বলেছেন, ‘আমার উম্মতের সকলেই জান্নাতে প্রবেশ করবে, তবে যারা অস্বীকার করেছে তারা ব্যতীত। ছাহাবীগণ জিজ্ঞেস করলেন, হে আল্লাহর রাসূল (ছাঃ)! কে অস্বীকার করে? তিনি বললেন, যে ব্যক্তি আমার দ্বীনের আনুগত্য করবে, সে জান্নাতে প্রবেশ করবে, আর যে ব্যক্তি আমাকে অমান্য করবে সেই অস্বীকার করে’। (বুখারী হা/৭২৮০)নভোমন্ডল ও ভূমন্ডলের রাজত্ব আল্লাহরই। তিনি যাকে ইচ্ছা ক্ষমা করেন এবং যাকে ইচ্ছা শাস্তি দেন। তিনি ক্ষমাশীল, পরম মেহেরবান’ (ফাতাহ ১৩-১৪)আল্লাহ্ আমাদের সবাইকে ক্ষমা করুন...আমীন!",Notbully
একটা মানুষের এত গুন কিভাবে হয়?,Notbully
সাবাশ হিরো আলম আলম,Notbully
আল্লাহ আপনাকে হেদায়েত দান করুন ৷,Notbully
"আমার বাবা বীর মুক্তিযোদ্ধা মোঃ আবুল কাসেম এর পক্ষ থেকে মহান বিজয় দিবসের শুভেচ্ছা ও অভিনন্দন ।স্বাধীনতার জন্য বঙ্গবন্ধু শেখ মুজিবুর রহমানের দীর্ঘ ত্যাগী সংগ্রাম একাত্তরে খুঁজে পায় কাংখিত ঠিকানা। কী করে বাঙ্গালির স্বাধীনতার ঠিকানা, মুক্তির প্রতীক হয়ে উঠেছিলেন বঙ্গবন্ধু?সৌজন্যে বৈশাখী টিভি চ্যানেল।সাক্ষাতকার গ্রহণে কাজী বাপ্পা।https://m.facebook.com/story.php?story_fbid=1393456854161132&id=322595671837057https://youtu.be/cgLgYPJ7-V0",Notbully
"অদেখা জিনিসে ত ওর believe নাই,এইটা কেমনে করলো..",Notbully
"প্রত্যেকটি গ্রামে, ওয়ার্ড এ আওয়ামী লীগের নেতৃত্বে নিত্য প্রয়োজনীয় জিনিস পত্র এবং খাদ্য দ্রব্য সংগ্রহ করে দরিদ্রদের মাঝে প্রতিদিন বিতরণ করা উচিত। ইন্ডিয়া তে যেভাবে রেশন দিয়ে থাকে। সাথে সাথে হাসপাতাল কিংবা ইমার্জেন্সি তে যারা যারা কাজ করছেন, তাঁদের পরিবারের কাছে খাদ্য দ্রব্য পৌছিয়ে দেওয়ার জন্য আওয়ামী লীগের নেতৃবৃন্দের উদ্বেগ গ্রহণ করা উচিত।",Notbully
"ওহ পরিমনি,দিনে দিনে আপনার প্রতি ভালো লাগা আরো বেড়ে যাচ্ছে",Notbully
সেই রকম কবিতা,Notbully
নাটকের কাহিনী সেই পুরোনো। বিয়ে করতে চাই না - ত্যানা প্যাচানো এক কাহিনী,Notbully
খুব মহৎ কাজ❤❤❤,Notbully
থাকবো ইনশাআল্লাহ,Notbully
বিশাল হাওরে ছাত্রলীগ/যুবলীগ কে নিয়ে কৃষকের ধান কেটে দিচ্ছেন রাষ্ট্রপতি পুত্র মাননীয় সংসদ সদস্য জননেতা Rejwan Ahammad Taufiq ভাই ❤️,Notbully
ঈদ মুবারক...❤️❤️❤️,Notbully
মাশাআল্লাহ...... পুতুল গুলো নিয়ে খেলা করা তাহলে সমস্যা নয়!!!!!,Notbully
আপনা‌র জন‌্য ভালবাসা,Notbully
ম্যাডাম আপনি তো ক্লোজআপ হাসি দিচ্ছেন।,Notbully
অসাধারন,Notbully
বগুড়ার পুলাটারে সারা দেশ চিনে।কিন্তু জায়েদ ফ্যান কে কয় জনে চিনে,Notbully
আল্লাহ নেক হেদায়েত দান করুন,Notbully
কাফফারার টাকা কি এখানে দেয়া যাবে?,Notbully
ভোট দিতে পারবনা। কারন আমি গাজিপুর এ থাকি। ভোটের দিন ঢাকায় যাওয়া সম্ভব হবে না।,Notbully
ভালোবাসা,Notbully
আল্লাহ হয় এদেরকে হেদায়েত দাও না হয় ধ্বংস করে দাও।,Notbully
পরের সিরিজ কবে কোথায় ?,Notbully
"আজকেই জাহিদ খান কে চিনলাম, তাও আপনার মাধ্যমে... Hero Alom",Notbully
ছাত্রলীগ এ কাজ করে কি ভাবে।।পাশে থেকে উৎসাহ দিতে পারে।।যার কাজ তাকেই করতে হবে।।।সহায়তা করবে ছাত্রলীগ,Notbully
"জেনেছি তুমি জীবন মরণে বিমুগ্ধ চেতনার সারা বিশ্বের বিস্ময়, তুমি আমার অহংকার। বিজয় দিবসের শুভেচ্ছা",Notbully
বাংলাই বলতে পারে না,Notbully
আল্লাহ পাক আমাদের সহায় হোন।,Notbully
"ভাই, আল্লাহ তোমার দিলের নেক মাকসাদ গুলো পুরা করুক।",Notbully
"আল্লাহ আপনাকে সুস্থ রাখুন, আরো সম্পদ দান করুন যাতে আরো মানুষের কল্যানে কাজ করতে পারেন",Notbully
ইনশাআল্লাহ জয় হবেই আমাদের,Notbully
জয় বাংলা..!!,Notbully
আল্লাহ আপনার ভালো করুক,Notbully
আজীবন ক্ষমতায় থাকার খোয়াব দেখছেন শেখ হাসিনা: রিজভী --Saagol. They are going to stay 10 years without mandate. Just watch. You BNP even failed to free Begum Khaled Zia.,Notbully
বাংলাদেশ আওয়ামীলীগের প্রতিটি নেতা কর্মীকে অফুরান ভালবাসা এবং শ্রদ্ধা।,Notbully
দেখা শেষ।,Notbully
বাংলাদেশ এ টাকা আয় করো আর বাড়ি বানাও ইন্ডিয়া তে যখন প্রয়োজন শেষ তখন এই দেশ ছাইরা চলে যাও আর বলো গুম হইয়া গেছি..??,Notbully
"একই সেমিনারে মানুষ এবং অমানুষের তফাৎ দেখুন,বিষয়টা অনেকেরই অজানা,বাংলাদেশী বংশদ্ভূত নিউজিল্যান্ডের নাগরিক ।প্রেসিডেন্ট ট্রাম্পের কাছে যেখানে প্রিয়া সাহা নিজ দেশের নামে একগাদা বানোয়াট মিথ্যা তথ্য দিয়ে এসেছেন ।নিজ অথবা দলীয় স্বার্থের লোভে বিক্রি করেছেন দেশকে। সেই অনুষ্ঠানেই অনন্য নজির স্থাপন করে এসেছেন একজন মুসলমান । তিনি বাংলাদেশী বংশোদভূত নিউজিল্যান্ডের বাসিন্দা ফরিদ আহমদ ।অন্যদের পাশাপাশি তিনিও ট্রাম্পের সঙ্গে দেখা করার সুযোগ পেয়েছিলেন নিউজিল্যান্ডে সাম্প্রদায়িক সম্প্রীতি তুলে ধরার জন্য । তিনি সংখ্যালঘু মুসলমান হয়ে নিজ দেশ নিউজিল্যান্ডের বিস্তর প্রশংসা করেছেন ।সাম্প্রতিক সময়ে ঘটে যাওয়া ক্রাইস্টচার্চ মসজিদে হামলায় তাজা ঘা নিয়েই তিনি সেখানে উপস্থিত হয়েছিলেন, যে হামলায় ফরিদ আহমদের স্ত্রীও শহীদ হয়েছেন । কিন্তু সেটি নিয়ে বিরুপ কোনো বিষয় উপস্থাপন করা তো দূরে বরং ট্রাম্পকে ধন্যবাদ দিয়েছেন সে হামলার পর তাদের সহযোগিতামূলক মনোভাবের জন্য ।ফরিদ আহমদের এমন ভূমিকায় প্রসংশা করেছেন নিউজিল্যান্ডের প্রধানমন্ত্রী জাসিন্দা আরডান । বলেছেন: ফরিদ আহমেদ এমন একজন মানুষ, যিনি মানবতাকেই এগিয়ে নিয়ে যাচ্ছেন ।মজার",Notbully
ভাই বাপের বেটা হলে দেশে যান!,Notbully
তারা তারি বলতে বলেন?,Notbully
কিছু একটা করেন?,Notbully
কি ভাই কিছু খাবেন?,Notbully
তার নাস্তিকতা তার কাছে। সে কেন সমাজে হিংসা বিদ্বেষ ছড়াবে।,Notbully
ভোটের রেজাল্ট পাইয়্যা গেছি,Notbully
আল্লাহুআকবার,Notbully
তামিমের চেহারা অনেকটা ইলিয়াস কাঞ্চনের মত হয়েছে দেখতে...,Notbully
জয় বাংলা বাংলার জয়,Notbully
আলহামদুলিল্লাহ বেগম জিয়া আছেন এবং থাকবেন এদেশের কোটি মানুষের অন্তরে.,Notbully
"ভাগিনা তুমি কই? প্রতি নির্বাচনের আগে তুমি ভবিষ্যতবানী দেও, করোনা কবে শেষ হবে সেই ব্যাপারে যদি একটা ভবিষ্যতবানী দিতা জাতি কৃতজ্ঞ হতো!",Notbully
"স্যালুট টাইগার সাকিব আল হাসান। আজ দেশের মানুষের পাশে আপনি দাড়িয়েছেন। আপনার স্মৃতিময় ব্যাট বিক্রি করেছেন এ দেশের মানুষের জন্য, এ দেশের মানুষের কাছে আপনি কখনো বিস্মৃত হবেন না। আপনি আবার মাঠে ফিরে আসুন স্বমহিমায়।",Notbully
সাব্বাস! ভন্ডামি বাদ দিয়ে সত্য কথা বলেছেন।,Notbully
ছোট ভাই একটু কষ্ট করে ইউটিউব নিজের আইডি তে আপ করো তা হলে দেখতে এবং শুনতে পারবো নিজের মনে করে এতে তোমার দিক থেকে তুমি ভালো করবে এখন থেকে একটু ইউটিউবার হতে মনোযোগ দাও আর কোন ধরনের পরামর্শ লালে ইন বক্সে করো আমাকে । ধন্যবাদ ভাই আমার,Notbully
"গালির সোদনে অতঃপর ক্ষমা চাহিল, মেকাপ সুন্দরী।",Notbully
আল্লাহ ক্ষমাশীল। ভুল বুঝতে পেরে তওবা করলে ইনশাআল্লাহ পাপ মোচন করবেন। আল্লাহ আমাদের সবাইকে বুঝার তাওফিক দান করুন,Notbully
"মানুষ তার কর্মের মাঝে বেচে থাকে, উনিও থাকবেন জীবিত বাঙালির মনে। বিনম্র শ্রদ্ধা আপনাকে।",Notbully
ভালো কাজ হয়েছে। সীমাবদ্ধতার মধ্যে থেকে করা কাজটি ভালো লেগেছে।,Notbully
দ্য লিজেন্ড অনন্ত ভাই ♥,Notbully
"মিথ্যে অালোয় অার কতদিনথাকবো খুশি বলো,মিথ্যে অালোর চেয়ে, সত্যের অাধার ভালোএই নিয়মেই চলো।জীবন একটা উপভোগের জিনিস, তোমার মত তামাশা করা জীবনের মানে না। বুজেছো নোভাইল??",Notbully
তাহসান ভাই অাপনার তুলনা অাপনি নিজেই। দ্য লিজেন্ড ♥,Notbully
গুরু অাপনি সেরা। অভিনেতা হিসেবে গায়ক হিসেবে অাপনি লিজেন্ড। যেমন ভদ্র তেমন অমায়িক। তাই এতো ভালবাসি ♥,Notbully
বর্জন করতে হবে বুঝতে যখন পারছোস তাইলে পোস্ট কইরা আর পপুলার বানাইতাছোস কেন? তাও আবার এত মানুষকে ট্যাগ দিয়ে রাখছোস।,Notbully
সময়োপযোগী পদক্ষেপ,Notbully
ইস্ অামি যদি পারতাম!,Notbully
শোকাহত। শ্রদ্ধা। আত্মার শান্তি কামনা করছি।,Notbully
চমৎকার জরিপ। সহমত ভাই।পাবলিক করেন সেয়ার করতে চাই। Jamil Uddin,Notbully
"সুস্বাগতম। আপনার অনেক ভক্ত আছে আমার মত, তাদের সবাইকে বলে দিয়েন রক্তদানে এগিয়ে আসতে। বিশেষ করে, এই রমজানে মূমুর্ষূ রোগীরা খুব অসহায়ভাবে তাকিয়ে আছে আমাদের দিকে। রোজার দিন বলে কেউ রক্তদান করতে চায় না। আপনি একটু বলে দিলে সবাই মানবতার এই কাজে ঝাপিয়েঁ পড়বে। আপনিও অসহায়দের দুয়া পাবেন। সো প্লিজ-",Notbully
"আপনার অনেক অন্ধ ভক্ত আছে আমার মত, তাদের সবাইকে বলে দিয়েন রক্তদানে এগিয়ে আসতে। বিশেষ করে, এই রমজানে মূমুর্ষূ রোগীরা খুব অসহায়ভাবে তাকিয়ে আছে আমাদের দিকে। রোজার দিন বলে কেউ রক্তদান করতে চায় না। আপনি একটু বলে দিলে সবাই মানবতার এই কাজে ঝাপিয়েঁ পড়বে। আপনিও অসহায়দের দুয়া পাবেন। সো প্লিজ-",Notbully
"আপনার অনেক অন্ধ ভক্ত আছে আমার মত, তাদের সবাইকে বলে দিয়েন রক্তদানে এগিয়ে আসতে।বিশেষ করে, এই রমজানে মূমুর্ষূ রোগীরা খুব অসহায়ভাবে তাকিয়ে আছে আমাদের দিকে।রোজার দিন বলে কেউ রক্তদান করতে চায় না। আপনি একটু বলে দিলে সবাই মানবতার এই কাজে ঝাপিয়েঁ পড়বে। আপনিও অসহায়দের দুয়া পাবেন। সো প্লিজ- এগিয়ে আসুন রক্তদানের আহবানে।""",Notbully
"আপু- জাস্ট একবার রক্তদান করে সেই সেলফি আপলোড করেন, আপনার দেখাদেখি অনেকেই এগিয়ে আসবে রক্তদানে। প্লিজ- <3",Notbully
প্রমান হলো প্রধানমন্ত্রীর নির্দেশেই গ্রেফতার.....আবার প্রধানমন্ত্রীর নির্দেশেই মুক্তি !,Notbully
এতকিছু বলা হইলো দামটা বললে না,Notbully
"সে একজন নাট্য কর্মী, তার চালচলন সেরকমই হওয়ার কথা, তাকে বাংলাদেশের প্রকৃত রিসালতে দেখতে এত কৌতহল কেন? সে (মিথিলা) স্পষ্ট বিপথগামী, তা সে বোঝেনা কারন তার কর্ম তাকে এটাই উপযুক্ত করে রেখেছে।",Notbully
সত্যি আপনি অনেক ভালো মানুষ,Notbully
একজন মুসলমান নারী হিসেবে আপনি এই ধরনের মন্তব্য কিভাবে করলেন? আপনার কথা শুনে বোঝাই যাচ্ছিলো আপনি মন থেকেই এই কথা বলেছেন। সবাই যদি এই কথার বিরোধিতা না করতো তবে আপনি সবার কাছে ক্ষমা চেয়ে এই পোস্ট দিতেন না। আল্লাহ্‌ আপনার হেদায়েত দান করুন। আমিন।,Notbully
"বাসা দিয়া বের হওয়া ধরছিলাম,আপনি কইছেন তাই আর বের হইলামনা।বাসাতেই থাইক্কা গেলাম",Notbully
সারাকেই ভাললাগতেছে।,Notbully
"সাফা কবির নাষ্তিক। কাফের, আল্লাহু তাকে যেন জাহান্নামে নিক্ষেপ করেন। আমিন",Notbully
এধরনের একটি প্রশ্নের উত্তর দিয়েছেন আসিফ মহিউদ্দীন৷ পাবেন এই লিংকে: http://dw.com/p/1Gghk,Notbully
"ডয়চে ভেলে বাকস্বাধীনতার পক্ষে৷ আর আমরা শুধু নাস্তিকদের মতামত নয়, সবপক্ষের মতামতই তুলে ধরার চেষ্টা করছি৷ আমাদের নতুন আয়োজন #dwAlaap সম্পর্কে বিস্তারিত জানতে ভিজিট করুন: http://www.dw.com/alaap",Notbully
"দেশের সবচেয়ে বিস্স্তৃত ব্রডব্যান্ড ইন্টারনেট নেটওয়ার্ক, কার্নিভাল ইন্টারনেট সম্পর্কে বিস্তারিত জানুন! Visit now: https://carnival.com.bd/",Notbully
ভালোবাসা অবিরাম প্রিয় ম্যাশ,Notbully
কমেন্ত পরে আমি ত শিহরিত.....,Notbully
"বছর শেষে ঝরা পাতাবললো উড়ে এসে ,১টি বছর পেরিয়ে গেলো হাওয়ার সাথে ভেসে।নতুন বছর আসছে তাকেযত্ন করে রেখোস্বপ্নগুলা সত্য করেভীষণ ভালো থেকো। শুভ নববর্ষ।~",Notbully
বাবার মতোই ।,Notbully
জানালা দিয়ে উকি দেয়ার পর!!Maruf Uddin Naiem Marzan Masum Montaj Anik Dutta,Notbully
মাস্ক কোথায়?,Notbully
দিন্দাডের খবর কি বস?,Notbully
এনশাল্লাহহহ,Notbully
মুসলমান না হলে কোন সমস্যা নেই। তোমার জন্য দোজখের আগুন ই যথেষ্ট। তবে হ্যাঁ আল্লাহ তোমাকে হেদায়েত দান করুন।,Notbully
"সুন্দর হউক বাংলা নাটক, বেঁচে থাকুক বাংলা সংস্কৃতি. বেঁচে থাক তুমি",Notbully
গুনীজনই গুনের কদর দিতে জানেন।আল্লাহ তাকে বেহেস্ত দান করুন।এখন জাতির উচিৎ তার পরিবারের পাশে দাড়ানো।,Notbully
কি সুন্দর করে বললেন আমি পরকালে বিশ্বাস করি না আর এখন বলছেন আল্লাহ মাফ করবেন। সত্যি করে বলেন তো আপনি আসলে কি চান!!!,Notbully
আচ্ছা নিজেই নিজের নাম লিখল কেন? আমি বলা উচিত ছিল না?,Notbully
আপ্নি সুধু মিডিয়ার হিরো না বাস্তবে ও হিরো। সেলুট বস।,Notbully
"বাপের বেটা হিরো আলম, ঐ শালা জায়েদ কে কে চেনে? ফকিন্নি...",Notbully
জয় বাংলা ।,Notbully
গুড looks,Notbully
রোজা আছেন্নি আপু?,Notbully
আপু আসসালামুয়াইলাকুম,Notbully
আপা আরেকটা অডি গাড়ি কবে লইবেন??,Notbully
সুভানাল্লাহ!,Notbully
একন পুদুইনা আর আদা দিয়ে রঙ চা বেশি জোস হবেদে হয়দে,Notbully
সে এখন কেমন বোধ করছে জাতি জানতে চায়,Notbully
নিউজে দেখলাম আপনার কাকড়া প্রতিষ্ঠানে কর্মরত শ্রমিকদের ৪ মাসের বেতন দিচ্ছেন না। এর কারন কি এবং বেতন কবে দিবেন?,Notbully
যেয়সাকো অয়সা মিলে,Notbully
অভিন্দন সবাইকে,Notbully
আর ব্যাবস্থা নেয়া লাগবে না। এখন যা ব্যাবস্থা করোনাই নিবে। লিখে রাখেন আজ ২৩ মার্চ ২০২০। ২৩ এপ্রিল ২০২০ দেইখেন কেমন সাইজ চলে। আশা করি আমার কথাটা মিথ্যা হোক।,Notbully
জয় ভাই যে ভাবে বলে দিয়েছেন সে ভাবে ই হবে।,Notbully
কি সুন্দর নয় ছয় বক্তব্য?,Notbully
আক্কেলেই হোক আর আখখেতেই হোক- এর কোনোটিই ব‍্যাপক অর্থবহ উপমা না। বাউলদের গান এমনই হয়। তবে সুরসমূহ সবভাবেই সকলকে আকৃষ্ট করে।,Notbully
কয় শর্ট দিছো,Notbully
মাশারাফির প্রিয় রং সাদা,Notbully
এই মুহূর্তে প্রতিটি গ্রামে ক্যাম্প করে সরকারি রেশনিং মূল্যে নিত্য প্রয়োজনীয় সামগ্রী বিক্রির ব্যবস্থা করলে মনে হয় গরীবদের উপকার হতো।,Notbully
আল্লাহ আপনার ভালো করবেন,Notbully
ভাই আপনিও ভালো থাকুন।,Notbully
বাছার জন্য এসব বলছে। মাননীয় প্রধানমন্ত্রী কে ও কলংকিত করছে !,Notbully
